date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:50:21	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2015%20Jul%202024%2006:57:18%20GMT	https://www.luckywinnerspower.com/robots.txt		(from )
03:50:21	55852/55852	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Jul%202024%2007:50:18%20GMT	https://www.luckywinnerspower.com/	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/index.html	(from )
03:50:22	75109/75109	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Jul%202024%2013:42:51%20GMT	https://www.luckywinnerspower.com/uploads/favicon_1721914971.jpg	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/uploads/favicon_1721914971.jpg	(from https://www.luckywinnerspower.com/)
03:50:22	26995/26995	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2006:57:19%20GMT	https://www.luckywinnerspower.com/css/lineicons.css	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/css/lineicons.css	(from https://www.luckywinnerspower.com/)
03:50:23	163873/163873	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2006:57:19%20GMT	https://www.luckywinnerspower.com/css/bootstrap.min.css	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/css/bootstrap.min.css	(from https://www.luckywinnerspower.com/)
03:50:24	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%226696a8d8-546c%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	C:/My%20Web%20Sites/Lucky2/Lucky2/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	(from https://www.luckywinnerspower.com/)
03:50:25	285314/285314	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Jul%202024%2006:03:13%20GMT	https://cdn-script.com/ajax/libs/jquery/3.7.1/jquery.js	C:/My%20Web%20Sites/Lucky2/Lucky2/cdn-script.com/ajax/libs/jquery/3.7.1/jquery.js	(from https://www.luckywinnerspower.com/)
03:50:25	88411/88411	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2006:57:19%20GMT	https://www.luckywinnerspower.com/css/main.css	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/css/main.css	(from https://www.luckywinnerspower.com/)
03:50:26	302496/302496	---M--	200	added ('OK')	text/javascript	date:Mon,%2022%20Jul%202024%2016:04:06%20GMT	https://lucky.botjuwa.com/js//main.js	C:/My%20Web%20Sites/Lucky2/Lucky2/lucky.botjuwa.com/js/main.js	(from https://www.luckywinnerspower.com/)
03:50:27	274146/274146	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2006:57:19%20GMT	https://www.luckywinnerspower.com/css/materialdesignicons.min.css	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/css/materialdesignicons.min.css	(from https://www.luckywinnerspower.com/)
